movie_name,mpaa,mpaa_category,overall_Profanity,overall_Drug/Alcohol,overall_General,overall_Violence,overall_Sexual Content
Descendants-The,G,Family-Friendly,0.022031366691560868,0.019044062733383122,0.9454817027632562,0.00784167289021658,0.005601194921583271
Kill-Your-Darlings,NR,Adult,0.013945119208277103,0.037786774628879895,0.8722447143499775,0.05443094916779127,0.021592442645074223
Theres-Something-About-Mary,R,Adult,0.03775133360689372,0.023389413212966764,0.8797702092736972,0.040623717685679114,0.018465326220763235
Jazz-Singer-The,NR,Adult,0.005494505494505495,0.006715506715506716,0.9700854700854701,0.013431013431013432,0.004273504273504274
Star-Wars-IV-A-New-Hope,PG,Family-Friendly,0.0018893387314439945,0.001349527665317139,0.9222672064777327,0.07395411605937922,0.0005398110661268556
Jurassic-Park-2-The-Lost-World,PG-13,Family-Friendly,0.005089058524173028,0.007997091966557615,0.8865866957470011,0.09960014540167211,0.0007270083605961468
The-Pianist,R,Adult,0.009071274298056155,0.009071274298056155,0.8803455723542116,0.09935205183585313,0.0021598272138228943
20th-Century-Women,R,Adult,0.00804289544235925,0.0353887399463807,0.9238605898123324,0.011260053619302948,0.021447721179624665
Pride-and-Prejudice,NR,Adult,0.0014781966001478197,0.0025868440502586844,0.9900221729490022,0.0014781966001478197,0.004434589800443459
Legally-Blonde,PG-13,Family-Friendly,0.014695340501792114,0.007885304659498209,0.9437275985663083,0.012903225806451613,0.02078853046594982
Straight-Outta-Compton,R,Adult,0.05651803464924737,0.021300766827605795,0.8721953990343653,0.042885543879579664,0.007100255609201931
I-Am-Number-Four,PG-13,Family-Friendly,0.005455962587685113,0.005066250974279034,0.88269680436477,0.10093530787217458,0.005845674201091193
Highlander-4,R,Adult,0.004407443682664055,0.011753183153770812,0.8222331047992164,0.15621939275220373,0.0053868756121449556
Patriot-The,R,Adult,0.0025889967637540453,0.008414239482200648,0.8922330097087379,0.09579288025889968,0.000970873786407767
Sicario,R,Adult,0.018474842767295597,0.02279874213836478,0.8663522012578616,0.07940251572327044,0.012971698113207548
Harry-Potter-and-the-Half-Blood-Prince,PG,Family-Friendly,0.003627882871210158,0.014252396994039906,0.9536149261466701,0.025136045607670382,0.0033687483804094327
Elf,PG,Family-Friendly,0.013321492007104795,0.005772646536412078,0.9538188277087034,0.020870337477797513,0.006216696269982238
Boondock-Saints-2-All-Saints-Day,R,Adult,0.05909090909090909,0.013636363636363636,0.8195804195804196,0.1020979020979021,0.005594405594405594
John-Q,PG-13,Family-Friendly,0.015115888478333893,0.006382264024185421,0.9267719180382936,0.05072220356063151,0.001007725898555593
Mr-Brooks,R,Adult,0.013807531380753139,0.010878661087866108,0.8702928870292888,0.08117154811715481,0.02384937238493724
Highlander-III,R,Adult,0.002294630564479119,0.0027535566773749425,0.8783845800826067,0.11519045433685177,0.0013767783386874712
Panther,R,Adult,0.05293631100082713,0.02315963606286187,0.8114143920595533,0.11000827129859388,0.0024813895781637717
Bad-Boys,R,Adult,0.03011456628477905,0.03273322422258593,0.8258592471358429,0.09623567921440263,0.015057283142389525
Stuart-Little-2,G,Family-Friendly,0.0028873917228103944,0.00048123195380173246,0.960538979788258,0.03464870067372473,0.0014436958614051972
Ride-the-High-Country,NR,Adult,0.0037753657385559227,0.020292590844738084,0.8957055214723927,0.07503539405379896,0.005191127890514393
Backdraft,R,Adult,0.03196974905465796,0.017188037126160193,0.8800275008594018,0.06565830182193194,0.005156411137848058
A-Quiet-Place,PG-13,Family-Friendly,0.00047938638542665386,0.010067114093959731,0.9161073825503355,0.06903163950143816,0.004314477468839885
Youve-got-Mail,PG,Family-Friendly,0.004455997029335313,0.004084663943557371,0.9844040103973264,0.004084663943557371,0.0029706646862235424
Princess-Bride-The,PG,Family-Friendly,0.003200731595793324,0.00594421582075903,0.9048925468678555,0.08321902149062643,0.0027434842249657062
Get-Him-To-The-Greek,R,Adult,0.03744567034436643,0.05081912403878302,0.8455366098294884,0.03009027081243731,0.03610832497492478
TRON-Legacy,PG,Family-Friendly,0.0029531192321889995,0.0,0.9298634182355112,0.06607604282022887,0.0011074197120708748
Titanic,PG-13,Family-Friendly,0.011151570323167955,0.009330905780609923,0.9394629039599454,0.032089212562585345,0.007965407373691398
Star-Wars-The-Phantom-Menace,PG,Family-Friendly,0.002346041055718475,0.0008797653958944282,0.9416422287390029,0.05454545454545454,0.0005865102639296188
Beetle-Juice,PG,Family-Friendly,0.002070393374741201,0.0,0.979296066252588,0.018633540372670808,0.0
Hellboy-2-The-Golden-Army,PG-13,Family-Friendly,0.0096579476861167,0.0036217303822937627,0.8736418511066398,0.11026156941649899,0.0028169014084507044
Coco,PG,Family-Friendly,0.0018960940462646946,0.005688282138794084,0.9723170269245355,0.020098596890405763,0.0
Little-Mermaid-The,PG,Family-Friendly,0.002824858757062147,0.0,0.9651600753295668,0.030131826741996232,0.0018832391713747645
His-Girl-Friday,NR,Adult,0.0042417815482502655,0.007423117709437964,0.9424708377518558,0.0440084835630965,0.001855779427359491
Rescuers-Down-Under-The,G,Family-Friendly,0.006584362139917695,0.00411522633744856,0.934156378600823,0.0551440329218107,0.0
Big-Fish,PG-13,Family-Friendly,0.004288777698355968,0.005718370264474625,0.9524660471765547,0.03002144388849178,0.007505360972122945
The-Rules-of-Attraction,R,Adult,0.028852056476365868,0.07335788827501534,0.8265807243707797,0.02394106813996317,0.047268262737875995
Below,R,Adult,0.018325697625989172,0.007080383173677634,0.9100374843815077,0.06247396917950854,0.0020824656393169513
Superbad,R,Adult,0.06098514464425332,0.08131352619233777,0.7697419859265051,0.04691164972634871,0.04104769351055512
Unknown,PG-13,Family-Friendly,0.0041759465478841875,0.01002227171492205,0.9323496659242761,0.04649220489977728,0.006959910913140312
